Module,Section,Check ID,Priority,Check Item,Steps,Expected Result,Pass (Y/N/NA),Notes,Tester,Date,Environment
Auth & Onboarding,Login & Signup,AUTH-01,P0,Email/password login succeeds,"Go to /login, enter valid credentials","Redirect to /library, session active",,,,,
Auth & Onboarding,Login & Signup,AUTH-02,P1,OAuth login (if configured),Use Google/OAuth button,"Account created or linked, library loads",,,,,
Auth & Onboarding,Login & Signup,AUTH-03,P0,Invalid password shows error,Wrong password,"Clear error, no crash",,,,,
Auth & Onboarding,Login & Signup,AUTH-04,P1,Signup with strong password,"/login?signup=1, complete wizard",Confirmation email flow or immediate access per config,,,,,
Auth & Onboarding,Login & Signup,AUTH-05,P1,Password recovery,Forgot password → email link,"Reset works, can login",,,,,
Auth & Onboarding,Login & Signup,AUTH-06,P0,Sign out clears session,User menu → Sign out,"Redirect login, library scope reset",,,,,
Auth & Onboarding,Login & Signup,AUTH-07,P1,Trial banner visible on trial account,,TrialBanner in library header,,,,,
Auth & Onboarding,Login & Signup,AUTH-08,P0,Trial expired gate blocks app,,Overlay until subscribe or license key,,,,,
Auth & Onboarding,Onboarding,ONB-01,P1,Welcome modal on first visit (?welcome=1),,Create play / Import .fdb / Tour / Skip,,,,,
Auth & Onboarding,Onboarding,ONB-02,P2,Create play from onboarding opens create flow,,Create modal or designer opens,,,,,
Auth & Onboarding,Onboarding,ONB-03,P2,Import .fdb from onboarding triggers import,,Import picker opens on Draw tab,,,,,
Auth & Onboarding,Onboarding,ONB-04,P2,Skip dismisses modal permanently,,Does not reappear on refresh,,,,,
Library — Draw,Create & Import,DRW-01,P0,Create new play,Create → fill metadata → save,"Play in list, opens in designer",,,,,
Library — Draw,Create & Import,DRW-02,P0,Create new drill,,"Type drill, ball tool available in designer",,,,,
Library — Draw,Create & Import,DRW-03,P1,Import .fdb file,Import .fdb → select FastDraw export,Plays imported with thumbnails,,,,,
Library — Draw,Create & Import,DRW-04,P2,Deep link ?new=1 opens create,,Create modal auto-opens,,,,,
Library — Draw,Create & Import,DRW-05,P2,Deep link ?import=1 opens import,,Import picker auto-opens,,,,,
Library — Draw,Browse & Filter,DRW-10,P0,Type chips filter (All/Favorites/Plays/Drills),,List count changes correctly,,,,,
Library — Draw,Browse & Filter,DRW-11,P1,Search by play name,,Matching plays only,,,,,
Library — Draw,Browse & Filter,DRW-12,P1,Season/team/series/tags filters,,Combined filters work,,,,,
Library — Draw,Browse & Filter,DRW-13,P1,Sort control changes order,,"Order updates, persists preference",,,,,
Library — Draw,Browse & Filter,DRW-14,P1,Pagination (50/page),,Next/prev pages work,,,,,
Library — Draw,Browse & Filter,DRW-15,P1,Preview panel shows frames + animation,,Select row → preview updates,,,,,
Library — Draw,Browse & Filter,DRW-16,P2,Split resizer between list and preview,,"Drag divider, layout persists",,,,,
Library — Draw,Browse & Filter,DRW-17,P1,Favorite toggle,,"Star persists, Favorites filter works",,,,,
Library — Draw,Row Actions & Bulk,DRW-20,P0,Open in designer,,/designer?item=id loads play,,,,,
Library — Draw,Row Actions & Bulk,DRW-21,P1,Duplicate play,,Copy appears with distinct id,,,,,
Library — Draw,Row Actions & Bulk,DRW-22,P1,Edit details modal,,Metadata saves,,,,,
Library — Draw,Row Actions & Bulk,DRW-23,P1,Delete with confirm,,Play removed,,,,,
Library — Draw,Row Actions & Bulk,DRW-24,P2,Context menu all actions,,Right-click menu complete,,,,,
Library — Draw,Row Actions & Bulk,DRW-25,P2,Bulk selection operations,,Multi-select works,,,,,
Library — Draw,Preview — Present / Print / Share,DRW-30,P1,Present overlay animation,Present → Space/ arrows,"Play/pause, frame step, Esc close",,,,,
Library — Draw,Preview — Present / Print / Share,DRW-31,P1,Print single play PDF,,Print overlay → Save as PDF,,,,,
Library — Draw,Preview — Present / Print / Share,DRW-32,P1,Share link generation,,"URL with #s= hash, opens in incognito",,,,,
Library — Draw,Preview — Present / Print / Share,DRW-33,P2,Add to playbook from preview,,Play added to selected playbook,,,,,
Library — Draw,Preview — Present / Print / Share,DRW-34,P2,Add to practice from preview,,Practice block created,,,,,
